"country_name","region","region_name"
"Ghana",260,"Western"
"Ghana",261,"Central"
"Ghana",262,"Greater Accra"
"Ghana",263,"Volta"
"Ghana",264,"Eastern"
"Ghana",265,"Ashanti"
"Ghana",266,"Brong Ahafo"
"Ghana",267,"Northern"
"Ghana",268,"Upper East"
"Ghana",269,"Upper West"
"Kenya",300,"Nairobi"
"Kenya",301,"Central"
"Kenya",302,"Eastern"
"Kenya",303,"Rift Valley"
"Kenya",304,"Nyanza"
"Kenya",305,"Western"
"Kenya",306,"North Eastern"
"Kenya",307,"Coast"
"Madagascar",420,"Alaotra Mangoro"
"Madagascar",421,"Amoron'i Mania"
"Madagascar",422,"Analamanga"
"Madagascar",423,"Analanjirofo"
"Madagascar",424,"Androy"
"Madagascar",425,"Anosy"
"Madagascar",426,"Atsimo Andrefana"
"Madagascar",427,"Atsimo Atsinanana"
"Madagascar",428,"Atsinanana"
"Madagascar",429,"Betsiboka"
"Madagascar",430,"Boeny"
"Madagascar",431,"Bongolava"
"Madagascar",432,"Diana"
"Madagascar",433,"Haute Matsiatra"
"Madagascar",434,"Ihorombe"
"Madagascar",435,"Itasy"
"Madagascar",436,"Melaky"
"Madagascar",437,"Menabe"
"Madagascar",438,"Sava"
"Madagascar",439,"Sofia"
"Madagascar",440,"Vakinankaratra"
"Madagascar",441,"Vatovavy Fitovinany"
"Malawi",460,"Northern Region"
"Malawi",461,"Central Region"
"Malawi",462,"Southern Region"
"Mozambique",540,"Maputo Province"
"Mozambique",541,"Maputo City"
"Mozambique",542,"Gaza"
"Mozambique",543,"Inhambane"
"Mozambique",544,"Sofala"
"Mozambique",545,"Tete"
"Mozambique",546,"Manica"
"Mozambique",547,"Zambézia"
"Mozambique",548,"Nampula"
"Mozambique",549,"Cabo Delgado"
"Mozambique",550,"Niassa"
"Namibia",580,"Zambezi"
"Namibia",581,"Erongo"
"Namibia",582,"Hardap"
"Namibia",583,"Karas"
"Namibia",584,"Kavango West"
"Namibia",585,"Kavango East"
"Namibia",586,"Khomas"
"Namibia",587,"Kunene"
"Namibia",588,"Ohangwena"
"Namibia",589,"Omaheke"
"Namibia",590,"Omusati"
"Namibia",591,"Oshana"
"Namibia",592,"Oshikoto"
"Namibia",593,"Otjozondjupa"
"Senegal",660,"Dakar"
"Senegal",661,"Diourbel"
"Senegal",662,"Fatick"
"Senegal",663,"Kaffrine"
"Senegal",664,"Kaolack"
"Senegal",665,"Kédougou"
"Senegal",666,"Kolda"
"Senegal",667,"Louga"
"Senegal",668,"Matam"
"Senegal",669,"Saint-Louis"
"Senegal",670,"Sédhiou"
"Senegal",671,"Tambacounda"
"Senegal",672,"Thies"
"Senegal",673,"Ziguinchor"
"South Africa",700,"Eastern Cape"
"South Africa",701,"Free State"
"South Africa",702,"Gauteng"
"South Africa",703,"Kwazulu-Natal"
"South Africa",704,"Limpopo"
"South Africa",705,"Mpumalanga"
"South Africa",706,"North West"
"South Africa",707,"Northern Cape"
"South Africa",708,"Western Cape"
"Tanzania",740,"Dodoma"
"Tanzania",741,"Arusha"
"Tanzania",742,"Kilimanjaro"
"Tanzania",743,"Tanga"
"Tanzania",744,"Morogoro"
"Tanzania",745,"Pwani"
"Tanzania",746,"Dar Es Salaam"
"Tanzania",747,"Lindi"
"Tanzania",748,"Mtwara"
"Tanzania",749,"Ruvuma"
"Tanzania",750,"Iringa"
"Tanzania",751,"Mbeya"
"Tanzania",752,"Singida"
"Tanzania",753,"Tabora"
"Tanzania",754,"Rukwa"
"Tanzania",755,"Kigoma"
"Tanzania",756,"Shinyanga"
"Tanzania",757,"Kagera"
"Tanzania",758,"Mwanza"
"Tanzania",759,"Mara"
"Tanzania",760,"Manyara"
"Tanzania",761,"Kaskazini Unguja"
"Tanzania",762,"Kusini Unguja"
"Tanzania",763,"Mjini Magharibi"
"Tanzania",764,"Kaskazini Pemba"
"Tanzania",765,"Kusini Pemba"
"Tanzania",766,"Geita"
"Tanzania",767,"Katavi"
"Tanzania",768,"Njombe"
"Tanzania",769,"Simiyu"
"Mauritius",900,"Port Louis"
"Mauritius",901,"Pamplemousses"
"Mauritius",902,"Riv Du Rempart"
"Mauritius",903,"Flacq"
"Mauritius",904,"Grand Port"
"Mauritius",905,"Savanne"
"Mauritius",906,"Plaine Wilhems"
"Mauritius",907,"Moka"
"Mauritius",908,"Black River"
"Mauritius",909,"Rodrigues"
"Sudan",1540,"Middle East"
"Sudan",1541,"North"
"Sudan",1542,"Darfur"
"Sudan",1543,"East"
"Sudan",1544,"Khartoum"
"Sudan",1545,"Kordofan"
"Tunisia",1580,"Great Tunis"
"Tunisia",1581,"North East"
"Tunisia",1582,"North West"
"Tunisia",1583,"Center East"
"Tunisia",1584,"Center West"
"Tunisia",1585,"South East"
"Tunisia",1586,"South West"
